HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
119,115,81,1,22,20,1
126,174,148,1,9,8,5
103,199,192,1,5,4,33
65,178,198,7,1,3,61
27,125,168,74,1,1,76
12,55,106,158,2,2,78
6,23,43,219,9,5,63
1,9,18,235,60,56,36
1,4,9,198,121,117,15
1,2,4,133,163,159,5
1,0,1,54,171,168,3
15,1,1,24,139,141,1
59,9,0,9,88,92,1
109,74,37,4,35,40,1
131,143,109,1,17,15,2
129,190,179,2,6,8,10
97,200,202,1,3,3,39
52,163,191,22,2,2,66
21,103,142,98,2,1,81
8,42,71,180,1,2,77
4,18,28,224,21,19,57
1,7,11,223,83,74,31
2,1,3,173,142,123,14
0,12,84,45,165,157,5
1,196,187,2,158,153,2
103,25,11,1,16,16,2
48,2,2,175,2,0,2
3,10,82,98,17,17,1
1,199,191,6,170,153,56
71,26,12,0,18,14,60
113,2,0,106,1,2,6
6,10,81,170,14,16,1
1,191,196,5,175,163,6
30,28,11,2,19,18,71
132,2,1,107,2,1,39
11,9,86,166,11,17,1
0,173,190,6,174,153,1
26,57,11,1,19,14,28
125,3,1,104,1,3,76
10,1,80,169,17,17,9
0,113,191,5,175,164,1
25,119,9,2,19,19,0
127,3,1,101,1,2,58
11,2,28,168,15,12,60
1,120,217,5,172,159,3
24,117,23,1,21,17,0
132,3,0,99,1,2,6
12,1,24,215,13,16,72
0,115,206,13,175,163,37
25,121,23,0,21,17,3
130,3,0,94,1,1,0
12,2,19,219,13,17,29
1,115,221,14,175,154,79
25,127,22,2,21,15,10
126,3,2,94,1,2,1
11,1,22,216,8,19,6
2,113,200,13,154,159,74
25,124,25,1,56,17,41
133,3,2,95,2,2,3
11,1,16,221,1,6,1
1,108,201,13,106,142,27
23,126,22,1,90,45,73
130,3,1,95,6,3,10
12,1,15,223,2,0,2
1,110,200,12,52,106,6
27,125,25,1,168,79,75
130,4,0,91,10,6,42
11,2,15,223,0,2,3
1,108,206,13,53,57,2
24,135,23,1,169,156,27
131,4,1,89,11,9,76
11,2,21,224,0,1,10
1,107,198,14,53,13,0
22,132,22,1,168,156,6
130,4,2,88,10,19,74
12,0,13,225,0,2,41
2,104,194,13,50,7,3
19,130,27,0,165,137,2
132,2,2,87,12,33,24
14,1,10,224,1,2,77
1,100,223,13,48,2,10
23,133,25,2,164,119,1
131,3,2,83,11,80,6
13,1,9,231,0,4,70
2,100,178,13,48,2,42
24,135,55,2,157,46,3
131,4,2,83,11,156,0
14,2,1,224,2,11,25
1,98,127,14,48,1,76
19,175,117,0,168,54,10
130,7,2,84,11,153,1
12,2,1,227,1,10,5
0,36,135,12,44,2,72
25,198,115,2,163,59,41
135,18,3,81,11,157,2
12,1,1,225,2,11,0
1,35,124,14,53,0,24
24,195,114,1,171,51,76
135,19,3,78,11,164,11
12,2,0,227,1,11,1
1,33,155,15,42,1,3
24,200,112,0,170,50,66
137,19,3,74,12,152,45
13,1,2,225,0,10,3
1,29,125,16,42,2,2
18,199,114,1,180,50,24
129,19,4,77,13,152,76
12,3,1,233,2,11,11
1,31,112,14,39,1,2
21,196,152,2,156,50,6
133,18,4,74,11,161,70
12,1,1,231,2,10,38
1,27,111,16,43,1,3
21,196,128,2,172,49,1
133,18,4,73,14,156,24
12,1,1,225,2,12,75
1,27,116,17,35,1,11
19,198,108,2,166,40,2
135,21,2,74,13,155,4
15,1,1,228,0,11,68
1,27,132,16,43,0,43
18,198,120,2,180,47,1
129,21,3,69,11,167,1
13,1,0,232,1,11,24
2,24,122,17,39,2,75
20,198,117,2,169,42,9
134,20,3,66,11,157,1
14,2,2,231,0,11,0
1,24,120,17,45,0,49
19,197,123,0,176,44,60
141,21,3,67,12,162,4
13,1,1,229,0,10,1
1,23,122,16,34,1,3
17,195,122,1,165,43,70
135,21,4,66,15,164,48
14,2,0,230,1,12,4
2,18,122,16,35,2,1
18,196,119,0,169,37,24
133,22,3,63,15,158,74
15,1,1,228,0,13,10
1,18,123,17,30,2,2
18,196,135,2,171,35,6
134,22,3,64,13,153,71
14,3,1,239,0,12,41
1,17,118,16,38,1,2
19,195,127,2,169,33,2
134,23,3,58,14,151,22
14,1,2,231,0,13,75
1,16,120,17,33,1,9
19,196,125,1,167,35,3
133,24,4,59,13,162,2
13,1,0,229,0,10,45
1,16,116,17,31,2,65
19,198,122,0,162,37,5
137,25,4,57,13,167,0
16,1,2,230,1,14,2
1,14,119,18,24,1,68
20,195,135,2,161,33,41
135,24,4,59,14,146,2
14,2,2,230,0,12,1
1,13,111,18,33,1,24
15,198,127,1,173,39,78
131,24,2,52,14,163,9
14,1,0,238,1,14,1
1,12,110,19,30,0,2
17,198,128,1,169,32,50
133,27,5,50,18,167,63
14,3,1,228,2,14,4
2,9,110,20,26,1,1
18,171,131,0,170,26,4
137,55,3,49,15,161,72
14,3,2,236,2,14,44
0,1,107,20,27,1,3
17,121,127,1,169,30,2
134,112,4,49,15,160,24
14,4,2,234,1,14,78
2,1,98,20,32,2,10
17,122,199,1,166,31,1
133,114,8,41,15,168,4
16,3,2,251,2,15,68
1,1,46,23,22,0,46
15,117,202,1,174,29,3
128,116,15,43,16,170,1
14,5,2,232,1,15,18
2,0,41,22,18,2,81
18,116,194,2,165,25,12
126,121,18,42,14,164,0
12,3,0,230,2,13,2
2,1,51,21,34,1,66
17,114,219,1,162,29,45
136,120,17,46,16,163,3
14,3,1,235,2,16,1
2,2,45,21,19,2,24
16,115,206,1,173,20,80
135,124,15,41,18,163,10
15,4,2,235,0,15,1
2,1,42,23,22,2,4
18,113,206,1,173,23,68
134,120,17,33,19,164,46
15,2,2,236,2,15,3
2,1,49,26,19,2,1
19,110,210,2,172,19,22
137,124,18,34,21,153,83
15,3,2,228,2,15,12
1,1,41,21,15,2,1
14,111,201,1,171,26,3
136,128,16,34,20,156,66
16,4,0,231,0,15,48
1,1,44,22,17,0,3
15,105,202,0,171,19,2
133,126,16,36,18,160,20
18,4,1,232,1,16,81
2,2,41,24,16,0,13
15,105,200,2,168,21,2
135,134,17,31,18,156,2
16,3,1,230,2,13,72
2,1,41,25,18,1,52
12,105,199,0,164,19,3
140,130,18,31,17,159,0
16,4,0,231,1,16,19
1,2,29,23,18,1,79
16,102,218,1,161,23,12
132,136,23,28,19,163,1
16,4,1,234,1,16,2
1,1,39,27,16,2,70
13,99,206,1,166,20,51
134,180,17,26,17,162,4
16,10,1,234,0,19,2
1,1,34,25,13,2,19
15,100,205,2,169,17,79
137,136,17,29,20,165,12
17,4,0,236,2,16,2
0,2,33,25,12,2,1
14,94,214,1,163,18,67
132,178,22,27,22,163,47
16,9,1,231,2,18,2
1,1,29,25,8,0,0
11,33,201,2,144,14,18
132,201,18,23,41,160,79
18,17,0,237,2,18,12
2,0,33,27,1,2,3
12,33,200,3,100,13,1
135,198,18,19,96,153,63
15,17,2,235,6,18,50
0,2,36,27,1,0,4
12,33,204,2,61,15,1
138,198,18,17,168,164,22
15,19,1,237,10,17,78
1,3,30,30,1,1,12
13,32,206,1,56,10,1
134,197,19,19,162,160,1
15,19,1,235,11,17,68
2,1,25,28,1,1,48
12,27,197,2,64,17,1
137,197,20,19,175,166,1
15,22,1,237,9,17,19
1,3,27,31,1,2,80
10,27,204,2,10,11,11
133,197,21,16,171,161,1
16,21,1,229,20,20,2
1,2,33,28,3,1,63
9,22,207,2,9,15,50
122,200,17,19,147,157,2
34,21,2,231,46,19,1
3,2,35,29,2,1,19
1,24,201,1,1,10,80
90,196,20,17,102,163,13
99,22,2,233,97,21,2
8,1,25,30,4,1,2
3,19,206,1,2,14,66
8,197,21,13,47,164,50
118,22,1,233,160,21,1
32,1,25,32,10,2,1
1,17,196,2,1,7,16
2,199,19,12,57,136,82
85,21,2,232,182,42,14
99,2,28,31,13,3,0
7,19,204,2,2,1,1
1,198,22,12,44,97,65
8,22,3,232,169,132,49
114,2,26,30,11,5,4
35,19,212,2,1,2,1
1,195,20,11,46,49,18
2,22,2,230,167,153,80
86,2,27,31,12,11,13
100,17,203,2,2,1,2
3,199,21,8,44,56,1
3,25,3,201,172,168,65
45,2,27,71,10,10,53
126,17,202,4,1,0,4
8,198,20,1,47,44,2
2,24,3,136,167,155,15
8,3,21,144,11,11,78
117,13,206,3,1,2,13
34,195,22,1,38,43,2
1,24,1,139,176,161,1
2,1,26,142,13,11,63
88,14,202,4,2,2,52
110,198,25,1,37,51,4
5,24,3,141,164,159,0
1,1,21,140,13,11,17
41,11,206,2,2,2,79
126,200,24,1,39,43,12
7,25,1,137,169,161,2
2,2,22,143,14,12,3
