HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
4,0,24,25,2,0,7
1,1,25,20,2,2,6
2,5,18,22,1,17,6
0,22,8,18,1,45,20
5,38,3,8,2,54,41
28,41,1,3,8,49,51
44,33,1,2,25,42,43
49,20,1,0,32,33,19
54,8,2,1,27,17,8
55,3,2,1,25,8,3
50,3,12,1,24,4,1
28,1,31,6,16,2,2
12,1,34,19,7,2,1
5,0,32,28,4,1,0
2,0,25,24,1,2,2
0,2,24,21,1,1,5
1,5,15,19,1,19,10
2,24,6,15,2,44,29
3,39,2,7,2,61,63
20,42,2,4,11,56,75
41,33,2,1,25,47,60
46,21,0,2,31,34,24
49,9,2,1,27,16,10
52,3,2,2,26,6,3
44,2,16,1,23,3,2
23,2,34,5,12,1,2
9,2,37,16,6,1,2
2,2,28,24,1,1,2
1,2,22,23,2,8,15
29,1,1,12,2,58,25
48,32,1,1,27,24,22
8,24,22,1,24,1,1
1,2,38,23,3,2,0
0,1,4,17,2,34,7
43,3,1,3,6,40,45
52,40,0,0,38,6,11
6,11,35,4,20,1,0
2,1,39,26,1,2,11
6,1,3,17,2,57,31
43,18,2,3,13,28,22
41,34,10,2,23,2,1
3,4,22,14,4,0,0
1,2,8,23,1,13,11
25,2,0,7,1,51,49
54,33,1,2,24,10,5
9,22,37,1,26,0,0
2,3,35,24,1,3,16
2,0,5,20,2,56,26
40,3,2,2,3,35,23
50,42,1,0,36,2,0
6,11,33,2,21,2,1
0,0,26,28,2,14,8
7,2,4,19,0,50,44
44,16,1,2,15,9,10
42,32,5,0,24,1,1
3,3,27,12,5,0,8
1,0,23,27,1,39,19
24,0,3,5,1,41,47
54,30,0,1,30,6,3
11,21,17,1,22,1,2
1,2,25,25,4,0,7
8,1,6,25,0,46,29
45,2,1,3,5,35,24
42,39,0,1,31,3,2
1,11,41,0,22,0,1
0,0,31,27,3,8,8
25,1,3,21,0,54,42
57,17,2,2,13,22,10
11,33,6,0,24,1,1
1,1,19,10,5,0,7
7,0,26,22,0,38,15
50,1,4,12,1,43,45
41,30,1,0,29,5,2
3,24,19,1,24,1,1
2,2,31,28,2,0,13
27,2,3,20,0,50,44
53,1,1,1,1,35,12
9,39,1,2,32,2,1
2,12,36,11,20,0,6
0,2,23,21,2,9,17
38,0,1,8,0,62,36
49,13,1,2,14,24,1
6,33,17,2,30,1,0
1,2,36,19,6,0,20
7,0,8,25,1,28,43
44,0,2,3,0,40,12
40,29,1,0,29,5,0
1,26,30,0,19,2,7
2,1,33,30,3,0,12
25,0,5,18,1,49,52
53,1,1,1,2,36,3
10,39,1,0,36,3,2
2,12,38,16,24,0,17
8,2,27,23,1,13,41
50,1,3,15,1,54,11
42,14,2,1,18,11,0
2,30,11,0,28,1,5
0,3,33,30,8,0,24
25,2,10,38,2,53,50
53,0,1,2,1,36,2
11,27,0,2,29,2,3
0,21,36,13,22,2,14
4,2,21,18,3,10,44
49,1,2,15,0,48,13
43,3,1,3,3,9,1
2,35,4,3,33,1,10
2,12,37,22,21,1,29
25,1,22,16,3,34,24
55,0,3,8,0,39,2
12,13,0,2,13,4,0
1,33,23,13,27,1,13
2,1,30,25,6,1,48
47,2,9,17,2,51,5
44,0,3,2,0,39,1
2,28,1,1,21,2,6
1,24,29,25,26,0,14
22,1,32,17,4,11,53
54,0,5,1,0,52,3
11,2,0,0,1,10,0
0,40,5,10,39,2,17
5,11,31,21,20,0,43
47,2,19,7,3,54,11
45,0,1,2,0,35,1
3,13,0,0,18,2,2
0,34,24,21,22,1,17
23,3,29,22,4,10,51
55,1,5,3,0,52,3
11,1,2,0,0,12,1
2,31,2,1,26,1,14
3,25,27,24,27,0,44
48,2,29,21,4,48,14
43,0,2,2,2,34,2
2,1,1,2,1,4,4
1,39,15,11,36,0,15
23,13,30,23,25,15,45
57,0,7,8,2,58,3
12,0,1,2,1,8,0
1,11,0,2,11,1,16
5,32,19,27,30,1,38
50,3,18,21,6,31,15
47,0,2,3,2,45,0
1,2,2,0,1,7,6
0,26,0,3,29,0,14
23,26,29,29,24,2,47
57,2,23,22,3,56,3
10,1,1,2,2,35,0
0,2,2,2,3,3,18
3,40,1,11,34,2,43
51,13,34,22,17,10,14
42,1,18,8,1,55,0
2,1,2,2,0,13,6
1,11,2,0,16,2,12
20,33,17,22,26,1,46
58,3,22,21,10,50,3
13,1,5,5,2,38,1
0,0,1,0,3,2,14
4,27,0,1,39,0,38
49,28,41,29,23,12,15
40,3,26,20,2,55,0
2,1,5,3,1,13,3
2,1,1,2,12,2,14
26,39,3,8,31,2,48
53,14,24,27,9,50,3
10,0,29,15,1,39,2
1,0,3,0,2,4,17
1,8,0,1,23,2,39
108,43,18,19,22,10,13
44,7,24,21,5,49,2
3,0,5,4,1,12,2
1,2,1,1,2,1,17
36,8,1,1,31,2,50
50,44,28,25,22,47,3
5,7,18,18,1,37,0
1,3,2,4,1,3,14
2,1,1,0,11,1,33
30,7,6,9,29,9,16
46,41,26,24,7,60,0
3,8,19,13,1,27,5
1,3,1,0,2,1,17
19,1,1,1,23,0,47
50,7,22,21,38,28,4
13,43,37,20,4,53,0
1,6,4,6,2,8,22
2,2,2,2,2,1,36
44,2,2,16,31,1,15
41,9,28,52,21,48,2
4,40,47,31,1,41,2
2,6,7,2,1,3,16
13,1,1,12,11,0,31
51,1,1,12,21,9,3
12,8,32,16,6,60,1
3,42,23,3,1,21,15
8,5,2,1,0,2,33
49,2,0,6,25,2,20
46,2,17,39,28,26,2
4,7,28,13,2,46,0
0,40,7,29,1,6,4
17,8,2,1,1,2,62
49,2,0,45,33,0,9
13,0,27,59,23,49,1
2,7,27,7,3,38,3
1,40,4,1,2,4,17
44,7,1,14,10,2,45
47,1,3,39,26,9,2
4,2,42,25,10,53,1
1,6,30,2,1,25,16
14,41,3,11,2,2,32
51,7,1,37,37,0,22
14,2,15,11,21,27,0
2,1,22,33,1,43,2
1,6,4,1,0,6,16
42,41,2,18,12,2,51
42,8,0,20,28,2,4
3,3,30,2,7,50,1
1,0,18,1,1,36,13
10,7,4,14,2,3,31
47,44,1,37,24,1,18
13,8,4,22,24,8,0
2,0,37,6,4,56,1
5,0,18,2,2,27,14
46,7,1,17,3,1,52
48,41,0,19,35,1,4
4,8,13,2,16,29,1
0,3,29,13,1,46,13
12,1,8,19,1,6,29
49,6,1,14,17,2,17
15,43,2,4,24,1,1
1,7,29,0,6,48,2
2,0,27,1,2,47,9
44,1,3,25,0,3,57
48,6,1,20,27,0,9
4,43,8,1,25,3,2
1,8,35,1,4,56,2
12,2,23,3,2,25,10
49,0,1,24,0,1,55
19,7,0,18,36,0,4
0,39,17,2,28,29,2
1,8,32,1,3,54,11
43,0,5,25,1,7,32
48,0,1,126,13,1,19
4,8,0,3,29,2,2
2,40,31,1,7,49,1
10,6,41,16,1,37,11
49,1,6,18,1,2,58
17,2,2,7,23,0,5
0,6,2,1,23,8,1
1,42,32,4,4,58,10
42,7,27,122,1,30,30
50,2,2,5,1,1,23
5,2,1,3,33,1,2
2,5,10,1,23,27,1
10,44,26,2,1,44,7
53,8,10,26,0,8,36
19,1,1,33,17,1,10
1,1,6,5,26,0,0
0,5,37,1,9,46,4
45,43,24,18,2,41,23
54,9,2,17,2,5,58
6,1,1,198,15,0,1
0,1,22,4,31,9,0
11,5,29,29,5,59,23
49,42,7,10,0,31,45
20,8,1,2,1,2,11
1,1,2,0,35,1,0
1,1,21,12,21,25,7
44,5,35,26,1,51,17
47,41,8,110,1,9,52
4,9,1,15,7,0,3
0,2,4,4,33,0,0
8,0,32,14,17,44,16
45,5,22,17,0,39,47
40,40,3,27,2,3,12
2,7,1,2,20,0,1
0,2,9,155,21,5,9
32,0,31,12,3,57,15
52,7,10,65,2,23,54
9,42,0,9,2,2,2
0,10,2,4,39,1,1
2,2,23,16,18,22,18
48,1,21,44,2,50,45
50,19,3,2,2,7,14
4,31,1,184,17,1,2
2,2,3,5,24,0,8
8,1,37,296,8,43,13
45,1,17,9,1,36,53
39,35,2,69,1,4,2
1,18,0,13,22,2,0
1,3,2,60,26,8,12
28,1,20,9,3,57,43
53,4,9,2,1,31,12
9,40,1,12,2,2,2
0,7,0,21,34,0,12
2,2,7,5,21,34,31
41,1,27,1,2,46,30
51,4,15,2,1,7,2
4,39,1,27,13,2,0
0,8,0,21,26,2,11
8,2,27,2,10,46,52
49,1,23,2,0,41,5
39,5,3,3,2,5,0
1,42,1,26,32,2,11
1,9,2,17,21,6,26
26,2,21,2,2,63,29
52,0,31,41,1,25,2
10,2,4,19,5,1,1
1,41,0,16,28,0,11
8,11,5,1,13,27,53
50,1,24,0,0,49,4
41,1,22,36,2,9,0
3,18,2,72,24,1,3
0,32,0,5,26,1,16
25,2,35,13,3,46,61
54,2,19,2,1,40,5
8,0,3,19,0,4,2
1,33,1,16,32,2,20
1,22,1,2,20,8,47
46,1,29,48,1,57,13
52,1,27,5,1,27,0
4,3,3,14,9,2,10
0,41,0,7,29,0,22
7,9,8,1,17,26,33
51,2,28,2,2,46,2
41,2,21,13,0,5,0
2,4,1,19,19,0,9
