HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
1,1,1,1,3,2,7
0,5,2,1,1,2,4
2,2,1,2,3,1,2
0,2,1,1,3,5,1
1,1,1,1,2,18,2
1,2,2,7,2,11,2
1,1,1,5,2,5,0
0,1,1,4,10,4,1
0,4,2,1,7,27,2
0,0,5,3,10,22,2
1,1,3,13,9,9,0
6,2,3,12,3,9,1
4,1,1,5,3,5,2
3,2,2,3,1,2,2
1,0,3,2,0,4,4
1,2,1,2,2,0,2
1,2,2,0,2,0,0
0,1,1,2,3,1,0
2,1,0,1,1,1,0
1,2,1,2,1,2,2
1,3,0,1,5,2,1
0,1,0,0,3,1,0
1,0,1,0,19,1,1
1,0,2,1,24,1,0
1,0,4,4,11,0,2
1,3,2,1,6,1,0
1,11,1,2,5,0,0
0,11,2,0,3,2,1
0,22,1,1,4,0,2
1,25,1,2,5,1,0
2,17,2,1,2,0,1
0,9,8,1,2,2,2
0,4,6,1,1,2,1
1,1,5,3,0,1,1
1,4,2,2,9,4,1
0,1,2,1,8,2,1
2,1,2,2,3,1,2
1,1,1,2,1,1,1
0,1,3,1,10,3,4
2,29,1,2,3,2,1
0,4,3,1,3,5,0
1,7,2,10,1,1,2
1,33,0,4,6,1,1
5,4,0,1,4,1,0
1,2,0,7,1,2,0
1,9,1,6,0,2,1
1,7,0,19,1,1,1
1,3,14,2,1,1,1
2,1,2,0,15,1,1
6,1,0,2,1,4,2
2,1,2,1,2,2,1
1,2,0,3,4,0,1
0,2,0,24,8,1,2
2,2,1,2,3,1,2
1,0,2,1,5,0,1
1,1,0,6,1,0,3
0,3,0,6,1,2,1
0,2,1,3,1,0,1
1,2,0,4,21,0,1
1,8,8,1,3,2,1
1,1,1,11,18,2,0
1,0,1,1,30,1,0
1,4,1,5,6,1,2
2,4,13,4,21,0,1
8,3,1,1,5,1,1
3,1,0,1,3,2,2
4,4,1,0,2,1,0
1,2,3,2,0,0,1
1,0,2,1,4,2,1
2,2,4,2,10,2,1
4,1,0,0,4,1,1
2,27,1,1,10,1,0
2,6,7,2,1,1,0
1,1,1,2,10,0,1
0,4,2,7,1,2,1
1,2,1,2,1,0,0
1,0,2,2,2,0,3
0,1,2,11,4,3,2
1,2,1,6,8,0,2
8,18,3,4,2,1,2
2,2,1,1,2,0,1
0,3,0,18,2,0,2
1,2,2,5,0,0,1
2,11,2,3,0,2,0
3,9,0,0,1,0,1
1,2,1,4,4,1,1
2,2,1,6,18,2,2
0,2,1,3,2,4,0
2,2,2,1,3,1,2
0,5,0,2,11,1,1
1,33,1,2,6,16,2
2,6,1,0,10,1,2
1,1,1,2,1,1,1
2,10,0,0,2,0,2
2,19,1,0,41,5,1
2,2,0,4,10,3,1
3,1,0,2,5,2,0
1,11,4,2,1,1,2
0,9,5,18,9,2,3
1,3,0,4,2,1,1
0,0,1,2,13,1,1
1,2,1,1,12,2,1
1,2,2,2,2,1,0
0,8,1,3,0,2,0
1,5,1,10,1,2,0
0,1,4,1,0,0,0
1,1,2,1,2,2,2
2,1,0,1,2,10,5
8,1,0,0,7,2,0
3,19,2,13,2,0,1
1,7,2,1,6,0,1
10,8,0,8,2,6,0
1,5,1,4,3,2,1
0,6,1,13,4,0,0
2,2,0,4,2,0,0
1,18,0,2,2,2,0
2,3,2,0,5,1,3
1,1,0,7,7,1,2
1,0,6,2,4,1,2
1,1,13,1,0,1,2
1,4,1,2,1,1,0
3,2,0,1,0,0,0
2,1,1,1,1,1,1
0,0,2,0,6,2,5
1,0,3,1,6,1,2
0,1,1,0,3,1,1
1,7,1,1,29,2,1
0,1,1,1,2,1,2
0,0,1,2,2,2,0
1,2,3,7,2,3,2
1,1,3,4,6,1,1
1,1,2,2,1,1,0
1,8,1,3,4,0,0
2,3,1,2,4,1,0
1,3,0,4,9,12,1
0,5,1,2,5,1,1
1,6,1,3,6,1,1
1,1,2,3,1,14,0
1,1,4,1,8,3,2
1,29,4,2,1,1,1
1,3,0,1,5,0,1
0,2,2,1,2,1,1
1,2,7,3,3,2,0
0,5,2,2,1,1,2
1,0,1,10,1,1,0
1,11,1,6,1,2,0
2,15,16,4,4,2,1
0,1,3,4,13,1,2
1,1,1,4,7,1,2
4,1,0,5,2,0,2
