HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
9,2,0,10,5,4,1
13,1,1,12,7,1,2
12,1,1,6,6,2,1
11,5,0,2,2,1,3
5,1,1,1,1,0,9
2,0,0,2,0,2,17
1,2,3,0,1,6,18
1,0,10,0,0,9,14
2,4,15,2,1,8,5
2,9,16,7,1,5,3
0,12,11,9,2,3,1
1,10,21,9,0,1,3
2,10,12,10,1,2,0
3,6,5,5,3,1,1
8,3,2,4,6,0,1
13,2,2,1,8,1,1
14,0,2,1,8,5,0
11,0,1,1,6,3,2
4,2,2,2,4,2,10
2,1,1,1,2,0,17
2,0,5,1,2,8,19
2,1,10,2,1,14,16
0,7,11,5,1,13,6
0,15,8,11,2,9,3
0,12,7,11,1,12,2
1,7,3,8,1,27,2
0,5,2,7,2,33,2
2,3,2,4,4,16,0
8,3,0,1,4,6,2
13,2,2,1,5,5,0
14,3,2,1,5,1,1
4,1,26,1,4,1,9
2,1,18,1,2,5,20
1,3,4,2,1,4,0
3,12,2,7,0,8,1
10,4,1,6,0,16,0
3,1,8,2,1,12,7
1,2,18,2,5,2,20
0,1,2,0,6,9,2
2,14,0,3,2,1,1
12,1,7,13,1,0,0
4,1,10,1,0,4,9
1,20,6,0,1,5,20
2,15,2,1,7,5,4
1,25,2,4,2,4,0
13,3,0,8,1,5,2
5,2,1,2,2,2,8
1,2,10,0,0,2,19
0,14,5,1,5,2,2
0,8,1,0,6,2,0
12,0,2,14,1,2,1
5,0,1,3,1,1,9
1,4,22,0,1,11,18
1,18,2,2,2,7,4
0,7,1,0,7,3,1
11,0,1,11,2,1,0
5,2,26,2,1,1,6
1,11,13,1,1,0,19
3,15,6,8,1,12,2
1,3,2,6,6,6,0
12,1,3,5,3,1,2
2,1,9,2,0,1,8
2,2,2,2,1,18,22
0,16,13,2,0,11,2
1,2,12,1,6,12,0
13,2,1,11,4,1,0
4,1,3,3,0,1,7
1,7,7,1,0,1,19
0,15,1,2,0,1,4
1,2,1,0,2,7,0
11,21,1,2,5,4,0
4,2,4,6,2,2,8
0,11,16,1,2,0,19
1,11,1,1,1,28,2
3,1,1,0,1,4,0
14,1,2,2,4,2,1
3,0,6,9,2,0,9
1,13,10,5,0,1,17
2,7,2,0,0,35,2
1,0,0,2,2,11,3
15,1,1,1,3,1,1
5,6,18,6,2,3,7
0,17,44,4,1,0,20
2,5,4,1,1,0,3
2,2,2,2,2,1,0
11,2,0,1,2,29,2
3,2,13,11,8,10,6
2,11,28,5,2,2,20
1,3,3,2,1,6,3
0,1,0,1,1,1,1
11,2,0,1,0,1,1
3,2,19,7,7,1,6
1,13,4,9,3,23,20
2,11,0,2,2,17,3
1,1,3,3,1,2,1
11,1,9,1,2,22,1
4,21,26,4,3,3,5
1,11,7,7,6,5,20
2,1,2,1,1,28,4
2,1,0,1,0,1,2
12,1,4,2,0,2,1
5,7,2,1,2,2,8
1,17,6,9,4,13,22
1,10,3,4,1,3,3
0,1,2,1,0,2,1
11,1,3,0,2,1,1
4,9,24,1,1,1,7
2,7,6,10,5,1,21
1,1,0,6,2,16,2
2,1,0,1,1,8,1
12,0,9,1,1,1,1
5,12,13,2,1,0,8
1,23,5,5,6,7,19
2,4,1,10,5,5,3
1,1,0,2,1,1,0
9,0,1,1,3,2,1
4,15,10,1,2,16,6
2,6,6,6,3,26,20
1,2,8,5,7,2,2
0,2,2,3,2,2,1
7,0,1,1,2,2,0
14,6,11,1,1,21,6
1,15,4,1,1,4,21
1,7,1,4,6,0,4
0,2,0,0,3,2,1
7,2,3,0,1,1,2
12,6,4,1,1,29,8
2,15,6,2,0,14,21
1,3,1,5,3,1,1
2,2,0,2,6,1,1
9,1,4,0,2,1,1
13,5,36,0,1,2,7
1,36,24,1,0,14,24
1,18,2,3,2,12,1
0,2,1,12,5,2,1
9,2,2,3,2,1,2
12,8,4,0,2,10,4
1,9,23,1,1,7,20
1,2,4,3,1,1,3
2,1,1,4,5,1,1
7,1,4,1,2,0,1
14,15,14,2,2,17,5
1,7,5,0,2,7,18
2,1,1,4,1,1,3
0,0,0,6,2,1,1
8,1,18,3,4,1,0
12,11,32,3,1,0,8
1,4,5,0,2,27,19
1,2,1,0,1,3,2
1,0,1,6,1,1,2
7,1,9,4,3,1,1
13,6,15,2,1,4,7
2,11,2,2,0,34,19
0,5,2,2,0,6,1
0,1,1,7,0,6,1
6,1,1,4,5,3,1
14,12,28,1,2,2,5
2,17,6,1,1,10,21
2,3,1,1,1,1,3
2,0,0,6,1,2,0
7,1,0,9,3,8,0
15,11,21,3,6,15,6
2,12,8,2,2,3,19
1,10,14,0,2,1,2
1,1,2,0,1,2,1
8,2,1,8,2,1,2
13,3,14,7,6,26,6
1,12,12,2,1,13,20
1,1,2,1,1,1,3
1,1,2,1,1,8,2
7,10,7,8,2,2,0
14,5,12,8,6,2,6
2,1,2,2,5,3,20
1,2,1,2,1,2,2
0,5,0,1,2,1,2
7,11,12,1,1,1,1
10,10,7,10,3,4,6
1,4,1,2,3,27,22
2,1,1,2,1,17,3
2,1,1,2,2,1,1
6,13,11,5,2,2,0
16,2,7,7,1,5,4
0,2,1,1,6,7,18
1,1,1,1,2,1,2
2,3,1,0,1,1,2
6,15,9,1,2,0,0
13,5,9,7,2,16,4
3,2,2,3,7,21,18
2,1,2,1,4,3,3
2,1,1,0,2,11,2
7,15,23,1,1,2,2
14,4,12,2,1,3,6
2,1,0,8,4,8,20
0,2,2,3,7,1,2
1,3,1,1,2,1,2
7,9,12,1,1,1,1
13,3,7,2,1,23,5
2,1,1,10,1,5,18
1,2,2,2,5,0,4
1,16,1,0,2,2,3
5,1,16,2,1,3,1
14,1,12,4,2,5,4
2,2,0,7,1,1,23
1,1,0,3,4,0,5
0,2,1,0,2,2,1
8,11,10,1,1,4,0
10,4,3,3,2,6,6
2,0,2,6,0,4,22
2,1,1,4,4,2,5
0,1,0,2,4,1,0
6,10,13,1,1,1,1
16,6,3,2,2,1,5
1,1,1,4,0,10,17
1,2,0,9,1,10,3
1,0,0,3,5,2,2
6,13,13,0,3,1,1
12,5,6,0,1,1,4
2,1,1,3,2,23,19
2,0,2,6,2,16,2
1,1,5,5,6,3,0
3,10,13,1,5,1,1
16,2,2,1,1,6,4
1,1,1,1,0,1,18
0,4,1,9,0,2,2
1,2,6,5,4,1,0
4,7,14,2,8,1,0
14,18,3,1,3,2,6
1,3,1,0,2,17,20
1,2,11,2,0,22,3
1,1,3,10,2,1,0
7,34,23,2,6,1,1
13,8,3,1,3,15,5
3,1,0,0,1,2,20
1,1,1,4,2,2,3
0,2,6,7,1,0,2
5,11,13,4,5,2,1
10,6,1,0,3,16,5
3,1,1,2,0,21,22
1,1,0,2,1,2,3
1,0,9,9,1,0,2
2,10,16,3,2,20,1
11,6,3,1,3,7,3
1,1,1,0,0,2,19
1,0,0,2,0,3,4
1,10,7,10,2,1,1
5,26,26,2,0,0,1
14,4,6,2,6,4,4
