HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
3,27,23,9,1,18,2
1,12,10,5,1,8,16
7,6,5,3,1,4,29
13,2,2,3,6,2,37
29,2,3,2,22,2,38
41,0,2,1,27,2,29
38,1,2,0,35,2,16
31,0,2,2,31,9,6
18,12,1,3,16,18,3
8,28,59,15,6,17,2
5,34,45,27,4,30,2
2,36,22,30,2,42,0
2,22,9,29,1,32,0
2,9,10,19,0,14,0
0,6,9,9,4,6,7
2,2,5,4,25,3,18
10,2,1,2,38,2,27
22,1,2,0,35,1,41
34,1,1,2,34,2,38
37,0,1,2,33,1,36
25,3,2,2,26,7,21
15,10,1,1,13,16,9
6,6,2,8,7,24,4
3,13,35,19,4,20,2
3,27,59,29,1,9,2
1,23,25,31,2,4,1
1,16,12,26,2,1,2
0,19,5,18,0,2,2
0,10,3,11,0,1,6
13,2,1,3,3,0,34
34,8,10,1,8,6,18
6,32,21,0,27,9,2
1,15,28,23,33,6,2
0,1,34,24,1,0,20
28,1,2,3,10,2,37
28,4,1,1,26,1,3
3,40,49,4,2,2,2
0,20,76,29,2,0,1
5,1,32,11,1,22,29
40,2,8,0,22,15,31
13,25,23,1,22,1,4
1,36,69,12,2,2,1
0,5,23,28,2,11,5
20,1,11,3,1,3,36
34,3,27,1,28,2,20
4,32,84,1,14,4,3
1,22,19,22,1,5,2
2,2,2,17,1,5,10
29,0,21,3,23,8,50
34,4,33,0,55,3,8
2,29,61,5,6,1,1
0,6,12,23,1,0,2
4,1,15,11,1,20,16
39,26,32,2,30,34,27
18,4,6,1,9,4,1
2,18,24,19,2,2,2
0,3,2,19,2,5,5
14,2,43,2,6,41,37
43,0,80,2,19,10,28
10,23,33,1,21,2,2
0,24,10,27,2,0,2
5,4,3,17,0,13,18
47,3,26,2,2,28,37
14,0,2,0,34,2,5
1,50,17,5,16,1,1
1,56,1,32,3,0,0
19,5,56,12,2,1,25
39,1,23,2,14,29,31
4,10,11,2,35,11,4
0,38,7,9,3,0,2
2,12,5,33,1,11,4
25,1,59,8,8,8,35
24,0,33,0,30,1,9
3,62,20,2,36,6,1
0,63,2,13,3,8,2
2,4,74,26,0,2,5
36,1,18,5,5,6,31
17,10,24,0,64,1,19
0,43,2,1,10,1,1
1,7,111,22,1,1,1
17,1,67,16,0,1,12
29,2,13,1,7,9,33
3,19,12,0,61,7,5
1,36,52,2,21,2,1
0,5,5,24,1,1,2
27,2,13,14,0,1,19
23,1,32,2,29,0,31
2,25,5,0,24,28,3
1,49,19,12,3,35,1
3,3,31,29,2,3,4
34,0,3,3,2,1,40
21,2,1,2,38,28,13
3,27,59,0,12,23,0
1,27,90,23,1,3,2
16,3,23,21,1,1,12
35,0,1,1,6,0,37
3,17,19,0,37,15,5
1,40,47,5,8,16,1
1,4,44,30,2,4,1
27,2,23,15,1,2,25
34,3,13,2,10,2,30
3,30,20,1,39,28,3
0,33,3,11,4,3,1
3,2,30,24,0,2,4
32,1,4,3,2,1,33
13,13,93,0,44,10,23
2,30,8,2,5,17,1
1,29,6,26,2,3,0
10,2,6,32,6,1,12
37,1,43,3,2,4,28
6,32,67,0,19,19,2
0,20,28,2,52,2,1
1,1,12,29,7,1,0
14,1,10,15,1,1,25
34,25,20,2,1,1,33
8,30,27,1,41,49,4
2,6,2,6,17,56,0
7,2,3,30,2,4,4
23,1,65,11,2,1,38
22,50,11,1,11,2,21
2,79,5,1,39,16,2
1,5,6,17,4,19,1
12,1,2,23,1,1,12
29,6,55,2,1,1,43
5,29,6,0,20,19,5
1,22,2,1,23,16,0
0,2,2,26,4,4,2
23,1,8,15,1,1,27
29,7,29,2,1,0,44
2,34,23,2,26,19,6
1,17,1,10,23,32,1
5,2,0,32,3,1,2
40,0,1,7,1,2,31
14,37,10,2,7,1,23
2,42,36,2,36,1,1
0,4,4,19,6,53,2
12,2,2,23,1,20,9
35,0,48,2,1,2,40
4,49,23,2,2,1,13
0,29,26,1,30,7,3
1,2,2,21,28,11,1
33,0,1,17,4,1,23
30,0,93,1,0,0,29
3,51,49,2,19,4,3
1,17,25,8,17,20,1
2,0,4,37,1,1,2
29,2,36,9,1,1,34
15,20,2,3,13,0,24
1,40,1,2,42,1,2
2,5,0,8,9,15,1
12,1,102,33,1,25,13
33,1,53,12,1,2,48
2,33,29,1,0,16,7
1,27,24,1,32,9,1
1,2,8,13,36,4,1
16,0,16,24,3,7,18
27,2,51,2,0,1,29
4,35,35,2,30,1,4
1,14,3,1,57,14,1
3,2,26,27,5,13,6
37,1,25,17,2,1,38
29,19,2,2,2,2,18
3,15,0,0,12,0,3
1,5,31,8,21,8,1
8,0,66,32,14,16,10
46,1,5,6,1,3,36
16,46,1,1,16,1,6
3,31,2,1,34,5,1
2,1,46,7,3,20,2
38,1,14,30,1,6,22
30,32,2,9,0,2,32
3,66,0,2,25,1,3
0,13,1,2,26,37,2
1,1,51,12,2,16,2
39,0,34,23,1,2,35
19,8,3,3,2,1,27
2,5,0,2,43,1,1
1,6,19,1,32,1,1
14,4,45,18,4,35,13
38,2,4,25,0,7,42
7,27,0,1,19,2,3
2,25,1,1,28,0,2
2,3,34,1,2,1,1
10,1,17,17,2,47,19
33,1,2,18,13,28,36
8,35,2,1,53,3,4
1,16,4,1,14,1,2
1,2,46,5,1,20,1
33,2,32,27,2,11,30
21,15,3,9,50,4,25
2,19,1,1,27,2,2
1,8,5,0,3,1,1
7,1,21,3,1,32,6
29,1,47,30,1,25,41
31,20,5,7,43,3,13
2,26,2,1,30,1,0
1,4,22,1,3,2,2
26,0,10,7,2,8,21
32,1,3,22,14,1,27
3,19,1,4,63,8,3
1,37,2,1,8,2,0
3,5,41,1,2,2,0
37,3,5,5,2,23,48
27,0,2,26,15,5,27
2,40,2,7,49,1,2
0,45,2,1,6,1,0
15,9,27,1,2,9,10
32,0,12,7,14,31,39
4,16,1,29,35,8,7
2,28,0,11,21,1,2
1,7,5,2,2,2,1
24,2,20,1,2,4,23
41,0,2,14,16,2,35
4,21,1,23,12,9,2
1,22,0,4,6,27,0
2,1,9,1,2,3,1
36,0,40,2,1,3,35
19,24,14,19,30,20,29
1,21,2,18,17,21,1
2,3,0,2,3,1,2
1,2,8,1,2,7,11
40,6,5,4,3,2,37
33,3,7,29,15,27,5
2,28,1,9,27,6,0
1,4,1,2,3,1,2
19,0,1,0,1,1,22
34,1,39,3,31,7,38
5,17,15,23,26,29,5
0,42,2,8,3,6,2
2,7,1,1,0,2,1
37,2,3,2,1,1,27
20,2,10,4,8,8,20
2,5,38,30,34,31,2
1,24,5,8,6,8,1
9,5,0,3,1,1,6
40,1,21,2,0,1,38
11,2,24,6,7,30,15
2,18,7,25,12,22,1
0,19,2,9,14,2,2
23,3,1,3,2,3,29
24,1,38,1,0,0,36
2,3,22,7,31,2,4
0,35,3,26,6,5,0
10,25,0,9,0,31,1
33,3,11,1,2,5,31
16,0,6,2,31,0,26
1,9,7,4,23,13,2
1,28,2,25,5,34,1
22,11,2,13,1,4,7
31,0,36,3,0,0,46
4,1,12,2,9,0,19
1,17,2,6,40,15,2
