HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
76,87,57,1,1,1,52
87,47,59,1,0,2,67
85,20,90,1,3,9,78
54,9,80,14,6,23,96
26,4,44,34,10,35,107
11,1,18,55,5,40,67
3,2,8,66,7,45,27
1,2,2,66,6,65,10
1,4,2,32,19,66,5
1,30,2,14,13,34,1
1,59,2,9,8,14,0
14,75,13,4,4,6,2
47,81,38,1,3,4,5
58,95,53,1,1,3,28
69,75,61,0,1,1,59
86,38,66,0,0,5,77
81,18,88,2,3,11,87
41,7,59,11,6,26,108
16,3,27,30,7,39,100
8,2,11,44,5,39,54
4,2,5,50,4,37,22
1,1,2,35,3,62,9
2,5,2,20,14,51,5
2,28,1,9,12,25,3
7,52,6,4,4,11,2
22,63,18,3,4,5,6
46,67,38,2,2,1,71
72,71,80,2,2,11,93
15,7,13,1,1,41,5
2,0,1,23,3,43,1
1,18,25,33,10,2,29
46,78,57,2,14,2,92
62,21,27,0,4,28,27
4,2,2,1,13,60,3
2,2,6,35,0,11,5
18,63,49,33,0,0,66
76,78,84,4,10,16,93
14,6,5,2,4,37,6
1,0,1,11,10,21,1
10,19,14,40,2,3,23
62,80,46,8,4,7,97
45,24,27,2,9,31,30
3,3,1,0,9,56,3
1,1,13,8,11,6,3
41,62,47,37,1,1,61
66,83,48,27,5,16,90
7,5,5,3,7,31,5
1,1,1,1,3,21,1
9,16,35,36,6,2,27
49,75,71,22,0,9,86
69,18,14,1,1,33,27
4,1,0,1,17,55,2
2,4,20,13,9,6,9
17,67,47,26,5,0,71
79,83,25,18,3,12,96
14,6,1,3,0,29,5
2,2,10,1,5,20,0
4,17,46,37,1,2,26
55,89,56,56,17,5,99
59,27,2,4,1,25,30
6,1,1,2,1,57,2
1,0,31,1,2,5,6
19,73,67,33,2,2,72
66,96,13,17,14,21,102
17,5,1,0,1,32,3
1,1,14,0,3,21,1
1,17,54,22,10,1,52
45,105,30,45,4,7,122
65,13,2,4,8,28,8
4,0,5,1,3,53,1
2,19,47,14,1,3,24
14,113,89,30,4,0,92
66,17,7,31,2,15,30
16,0,2,3,13,28,1
1,28,19,2,0,18,1
4,122,53,26,0,2,72
52,17,31,66,7,4,113
50,1,3,6,5,29,3
3,18,8,0,17,60,1
1,119,45,1,1,6,48
20,18,89,34,1,1,112
67,2,8,19,7,11,7
23,14,1,1,4,47,2
2,114,20,2,18,22,25
2,18,59,1,1,3,91
43,2,31,35,2,6,29
82,16,2,24,7,29,2
5,117,5,1,2,50,4
1,17,46,0,14,4,72
11,2,87,15,1,0,110
63,15,8,41,2,15,3
20,108,1,7,7,31,2
2,15,14,1,4,20,56
5,2,55,1,16,2,111
46,20,35,37,2,7,6
60,105,2,43,0,31,0
3,15,5,4,11,60,25
2,1,50,0,2,5,88
17,17,88,5,12,2,32
68,89,9,37,1,5,2
21,26,1,21,5,26,3
1,2,8,1,11,40,70
3,1,47,2,9,2,103
50,64,60,13,4,1,2
76,92,5,45,2,21,0
5,8,2,5,6,47,57
0,1,33,1,6,10,106
18,12,65,7,2,3,8
68,80,17,37,10,14,0
22,29,0,25,0,31,27
3,1,15,1,3,22,85
1,2,59,0,11,2,33
51,58,33,9,6,7,1
78,91,4,43,4,29,1
5,6,6,18,2,68,63
2,2,42,2,4,6,110
13,6,77,0,3,1,4
68,80,8,18,0,11,1
23,69,1,49,7,30,50
1,5,11,5,1,27,104
0,2,59,2,1,3,6
42,31,38,1,15,9,2
87,87,1,19,5,24,22
5,13,4,34,11,60,86
1,1,47,3,1,4,32
9,11,82,1,3,2,1
54,77,9,3,8,11,2
52,28,2,36,2,35,62
2,2,14,28,14,28,107
1,0,54,2,0,3,2
34,57,37,0,3,4,1
78,87,2,28,8,26,48
10,5,6,35,2,61,109
2,1,42,5,9,6,8
15,18,76,1,1,2,0
86,89,6,0,1,19,18
28,31,0,37,6,37,93
3,2,23,41,4,22,37
2,0,60,2,17,3,3
44,54,40,1,1,4,2
76,98,3,0,0,30,61
6,8,4,54,11,69,109
1,1,45,57,2,7,3
9,9,76,3,7,1,0
59,72,7,2,1,11,50
46,66,2,21,1,39,106
2,4,10,72,15,25,7
0,1,54,14,3,1,2
37,41,40,1,6,4,18
70,100,3,9,3,23,78
13,7,3,57,4,66,34
1,2,38,43,15,6,2
8,10,79,3,2,3,7
54,86,8,2,7,13,63
45,33,1,27,2,31,104
2,3,16,70,1,26,2
1,2,60,16,13,2,0
28,60,43,1,3,9,51
72,96,2,12,9,32,108
12,7,3,65,2,63,6
0,3,40,32,2,6,2
10,11,82,1,5,2,16
