HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
2,5,13,2,1,0,1
2,12,6,1,1,2,2
1,17,3,1,4,3,1
1,13,3,1,5,4,1
1,7,0,1,5,2,0
0,3,1,0,4,2,3
0,1,1,2,2,2,7
2,2,1,4,1,1,10
1,0,1,7,1,1,14
3,0,1,5,0,0,9
7,1,0,4,0,1,6
12,1,33,3,1,2,4
13,1,18,1,1,1,1
10,2,28,2,1,8,3
7,8,34,2,1,12,1
4,13,16,1,2,8,1
3,11,6,0,0,5,0
1,11,29,1,1,11,0
1,6,12,0,4,9,2
0,2,24,1,5,5,2
2,1,28,3,2,2,7
2,1,12,5,2,2,11
3,2,5,7,2,1,11
5,1,5,4,0,2,9
11,0,2,1,1,2,6
18,0,2,1,1,1,4
13,0,45,2,1,2,2
7,2,22,2,2,2,1
2,2,14,1,1,1,0
2,10,5,1,0,1,2
3,15,1,1,3,0,0
1,8,1,0,0,0,1
0,2,3,1,0,3,0
3,1,4,2,1,2,9
8,0,38,2,1,1,10
4,7,8,5,2,0,1
1,5,8,2,2,1,2
2,3,28,1,3,11,1
0,0,33,3,2,2,6
5,1,10,1,0,2,7
5,8,6,3,1,0,2
1,10,10,4,0,1,0
0,3,1,1,1,2,0
0,1,1,2,1,0,5
6,2,3,1,1,3,11
8,16,0,6,1,0,1
1,6,22,9,1,0,1
1,2,2,2,1,11,1
1,2,45,1,3,2,3
6,2,4,2,0,6,9
9,8,12,1,2,2,4
5,24,2,8,1,2,1
2,6,8,1,2,2,1
2,1,1,0,0,5,0
0,0,1,1,2,2,10
11,8,1,1,0,2,6
2,15,2,4,1,0,1
2,2,10,4,0,2,0
1,2,4,0,0,2,2
3,0,1,0,7,1,10
11,9,2,2,3,0,2
6,14,2,7,2,5,1
1,2,14,8,1,4,1
1,1,21,1,1,1,1
2,0,2,1,6,1,10
10,10,2,2,1,6,4
4,4,4,1,1,4,1
3,2,9,6,0,1,0
1,2,4,5,1,1,3
2,1,0,2,3,0,8
8,4,2,0,1,10,4
8,12,42,0,1,3,1
1,1,36,2,1,2,1
0,1,42,4,2,2,0
1,0,53,0,0,5,7
6,6,15,0,1,1,9
10,5,2,1,2,0,1
2,1,0,3,2,0,0
1,3,0,3,1,2,1
2,0,67,2,1,1,3
4,1,28,2,1,5,13
11,11,62,1,1,1,3
3,4,80,1,3,1,2
2,1,48,7,1,1,2
2,2,46,4,0,1,4
3,3,30,0,3,12,12
9,20,7,2,1,1,1
2,8,2,0,0,0,2
2,2,1,1,5,2,2
1,1,63,2,1,5,5
2,1,8,2,2,0,12
10,37,13,2,2,1,2
2,18,5,2,3,7,0
1,3,48,4,1,2,3
1,1,11,3,1,4,4
7,4,37,0,2,2,13
5,4,19,1,2,2,3
2,2,13,0,1,0,1
1,7,2,0,2,1,2
1,1,1,9,2,0,3
2,17,28,5,1,2,13
10,8,3,1,0,1,3
9,1,80,0,1,3,2
2,2,20,0,3,1,0
2,2,13,6,2,5,5
2,2,5,2,1,7,11
2,9,29,2,1,2,2
7,15,26,2,1,1,0
2,3,2,1,4,1,2
1,1,1,4,6,0,2
