HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
1,19,4,0,1,13,2
2,12,4,2,1,7,2
0,6,2,1,1,2,4
1,4,1,3,2,2,9
1,4,1,1,2,1,4
2,1,0,2,2,19,4
2,1,1,0,1,55,8
1,0,4,0,2,65,12
2,0,1,0,1,36,5
2,0,2,2,2,17,4
1,2,1,5,2,6,2
5,2,2,5,2,4,1
8,2,1,5,0,2,2
7,2,1,4,1,1,1
4,1,1,4,1,9,1
2,1,0,2,1,7,2
2,2,1,3,0,3,1
1,15,2,1,1,3,3
2,17,2,1,1,3,0
5,10,4,1,0,17,1
6,4,2,0,1,24,1
4,3,2,1,2,31,1
1,1,1,3,1,20,1
1,1,1,6,3,8,0
2,1,5,3,0,5,0
1,1,4,2,1,3,2
1,1,2,2,2,18,1
1,2,1,1,2,9,0
2,1,1,1,1,5,6
0,1,2,1,1,1,12
2,1,4,1,5,1,7
1,1,1,1,5,8,4
0,2,0,0,4,2,2
0,9,4,1,3,4,1
0,2,1,1,3,6,3
2,3,2,2,2,7,4
1,4,10,1,2,5,1
2,2,2,0,1,1,1
0,1,2,1,0,2,0
2,0,1,0,2,0,1
16,2,3,2,1,11,9
3,1,1,0,0,12,6
3,5,1,0,2,25,1
22,2,1,2,0,4,2
1,1,1,0,1,1,7
9,1,1,2,2,1,15
4,1,5,1,3,17,1
2,2,4,2,1,42,0
2,2,1,1,1,6,9
1,2,0,1,0,8,2
3,1,1,2,0,13,0
1,1,2,1,1,74,8
1,7,2,0,0,3,6
33,5,1,4,6,1,1
2,2,0,1,3,7,0
3,0,5,0,2,8,1
1,1,7,6,1,2,2
1,5,3,12,8,1,2
2,6,2,1,1,2,9
4,1,1,1,0,1,11
1,1,0,1,1,0,0
127,0,1,2,0,1,0
26,2,0,2,4,1,2
4,0,1,1,5,1,31
2,0,2,0,1,4,27
1,9,2,1,1,3,1
4,4,1,2,0,1,3
2,1,9,2,3,2,2
1,2,6,1,2,1,1
2,0,1,2,1,2,5
1,2,1,1,1,1,4
3,1,5,2,1,2,20
1,2,2,0,0,2,2
1,9,0,1,2,2,1
1,25,1,0,2,1,3
1,2,0,4,3,3,5
2,2,2,2,1,12,9
0,2,2,1,1,2,2
5,1,10,0,6,1,1
2,0,1,6,1,0,4
6,14,1,2,1,6,2
18,2,0,1,1,1,2
2,2,8,1,1,2,1
0,1,5,2,2,0,7
1,2,2,1,2,4,1
1,2,2,0,0,3,3
3,0,1,1,1,5,17
2,0,2,1,6,1,4
6,1,4,0,2,2,2
1,6,3,0,3,1,4
2,1,2,2,1,0,1
2,2,0,1,0,2,6
2,1,3,1,0,29,4
1,1,0,2,6,14,1
1,10,2,1,3,2,1
0,3,2,8,1,2,3
8,0,1,3,2,1,3
2,1,2,1,0,3,2
2,0,2,1,2,0,12
1,3,4,1,0,1,0
2,3,9,1,9,0,5
1,1,1,1,6,4,1
2,2,1,1,1,1,6
2,7,1,1,3,1,2
1,14,2,0,4,0,0
1,2,13,4,2,2,2
2,2,2,2,0,0,1
2,0,1,0,1,0,15
2,5,1,0,1,0,3
0,2,1,1,1,16,11
14,2,0,2,0,3,13
8,6,6,5,2,2,4
1,3,2,2,0,1,2
2,1,1,0,0,11,2
2,0,0,0,0,5,0
3,1,3,2,0,2,7
54,0,2,1,2,2,1
3,1,1,0,0,0,2
1,0,2,2,2,2,13
1,8,7,0,2,0,5
2,5,10,2,2,0,2
0,5,0,1,1,0,1
1,2,4,1,1,1,26
1,1,2,1,1,9,9
0,1,3,1,6,33,2
3,0,2,2,2,3,12
4,51,4,0,3,2,2
1,27,2,10,2,1,8
3,1,3,3,3,2,3
1,2,2,2,2,3,2
0,2,1,1,1,7,2
5,1,2,5,1,2,3
2,1,3,8,0,0,2
1,1,1,2,1,1,9
0,10,0,2,2,1,7
8,2,1,2,1,0,2
2,1,1,2,2,1,23
1,1,3,3,4,1,3
2,1,1,1,1,2,2
0,1,1,1,0,3,6
1,2,1,1,1,2,2
9,0,1,0,0,0,2
3,15,2,2,0,1,25
2,2,1,2,0,2,4
2,0,2,1,4,4,1
2,6,5,1,2,2,0
1,1,2,1,1,3,0
2,3,5,1,0,1,14
1,0,2,1,0,0,1
0,3,0,2,3,1,6
6,1,2,0,1,0,1
8,1,8,2,0,1,0
2,10,4,9,1,6,1
0,2,2,3,1,1,6
2,1,1,2,0,0,3
2,1,0,1,1,4,1
2,0,1,1,2,0,8
1,2,1,1,1,2,31
1,1,0,1,0,0,16
1,2,1,2,0,3,3
3,2,1,4,0,1,6
2,1,1,1,0,1,1
1,5,6,0,12,8,1
2,2,5,2,5,2,21
3,0,0,1,0,1,2
13,2,1,9,1,17,0
2,0,1,3,1,1,0
0,1,2,0,2,2,35
86,3,1,2,1,2,7
40,0,1,0,4,1,14
6,1,0,2,1,2,4
2,2,6,4,1,1,1
10,1,8,2,3,2,1
2,2,2,1,2,1,0
2,1,1,1,1,0,1
1,1,0,1,2,2,12
2,0,3,1,1,0,3
2,2,2,2,1,2,2
4,3,2,2,3,1,1
5,2,2,1,1,0,4
1,0,2,1,2,1,9
1,12,2,0,1,4,4
2,2,1,1,2,0,9
0,1,3,1,0,2,6
2,1,4,1,0,18,9
2,1,2,6,2,1,1
7,4,1,1,2,2,0
9,4,0,1,0,5,14
3,1,1,4,1,2,5
1,0,2,1,2,5,1
2,1,6,2,2,2,1
4,3,2,0,1,0,8
9,1,1,0,0,0,22
1,2,3,1,2,4,3
1,4,3,1,0,36,6
1,7,1,2,1,3,2
3,2,1,1,0,1,17
1,1,4,1,2,1,5
0,1,1,1,2,2,2
0,1,0,0,1,1,2
4,0,1,5,4,2,1
