HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
20,0,1,9,4,2,2
14,2,5,4,2,5,1
9,2,8,1,1,3,1
4,4,8,1,2,4,0
2,13,5,2,1,3,1
2,17,5,4,2,4,1
1,20,2,6,2,1,2
2,12,2,8,5,0,1
1,5,2,11,16,2,1
1,3,2,12,31,2,0
1,2,1,13,31,0,0
2,2,1,11,21,0,0
0,1,1,5,12,1,2
8,2,1,3,7,0,1
15,2,7,3,1,2,8
17,0,12,0,3,3,12
17,0,11,1,1,2,16
14,1,11,2,0,6,15
8,2,7,2,0,3,12
4,5,2,2,2,2,9
2,7,2,2,1,2,13
2,7,1,2,2,2,14
0,4,2,6,4,0,5
2,3,1,8,15,1,4
1,1,1,8,24,2,3
1,0,1,5,25,2,1
2,1,2,1,19,1,1
5,2,1,2,10,1,1
7,1,9,1,4,1,2
5,0,11,2,3,1,1
4,0,9,1,0,4,2
4,0,4,1,2,5,3
2,2,2,1,13,3,4
2,5,1,2,4,2,11
1,2,2,1,1,2,1
4,1,2,2,1,1,1
13,1,5,0,5,1,1
3,2,13,1,24,1,3
1,14,1,2,18,6,11
2,2,2,11,0,1,2
2,0,15,7,2,1,2
12,0,3,0,9,1,2
1,1,5,0,15,1,2
2,5,2,1,3,1,21
1,5,2,12,2,5,4
6,2,1,17,1,1,2
10,1,1,2,4,0,2
2,2,5,1,33,2,5
1,18,1,5,7,1,17
0,16,1,18,1,5,2
6,1,3,9,1,4,2
20,1,2,2,6,2,1
4,1,9,0,24,1,9
2,14,2,0,2,2,12
0,4,2,9,1,1,1
6,2,1,8,2,3,0
8,0,2,2,2,0,0
2,1,12,0,10,2,2
3,14,2,1,17,1,12
1,8,1,6,1,3,2
4,1,0,16,0,5,1
11,2,1,2,5,1,3
1,1,1,0,24,1,4
1,6,2,1,7,1,12
1,1,4,11,1,1,5
0,1,2,8,5,2,1
8,2,1,2,4,2,0
3,5,6,1,8,1,1
0,14,2,0,3,1,6
1,5,3,14,1,2,5
1,2,0,9,9,5,1
7,0,8,2,12,4,1
9,2,18,1,2,2,2
1,5,7,1,2,1,7
1,7,3,5,1,2,6
0,2,2,0,0,2,2
1,0,1,1,9,7,1
10,4,3,1,15,2,2
7,19,7,2,5,1,3
2,12,6,1,2,2,10
0,2,0,5,2,2,1
1,2,0,2,4,8,1
7,1,5,1,13,1,1
1,20,12,1,1,0,7
0,5,6,1,1,1,14
0,1,1,11,1,1,0
1,1,0,7,15,5,2
11,1,0,2,15,4,1
3,2,7,3,2,1,15
2,14,12,0,1,1,16
0,5,1,3,10,0,1
1,1,1,3,18,1,2
6,2,3,2,4,8,0
5,11,12,1,1,1,10
0,14,3,2,1,2,3
1,1,1,7,1,2,1
3,0,1,33,25,1,2
12,5,3,15,23,2,2
4,3,2,2,3,1,9
1,1,1,2,1,0,21
1,1,8,1,6,1,2
2,6,3,2,24,1,0
13,4,2,0,8,2,0
3,1,4,2,2,5,1
0,7,16,1,2,1,12
1,1,2,5,4,0,6
2,1,0,2,22,0,1
11,0,17,1,3,1,1
3,5,5,0,0,2,5
0,16,5,1,6,1,3
1,3,2,5,2,1,0
0,0,0,6,3,1,1
14,1,0,3,0,1,1
7,1,1,0,0,2,4
1,2,5,2,6,2,15
0,2,2,0,12,1,2
1,1,1,12,4,3,0
10,1,1,11,5,1,1
