HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
0,21,0,0,3,32,53
1,13,1,1,10,22,37
1,5,1,0,28,9,16
1,3,8,1,41,4,7
1,1,17,8,47,3,3
15,2,25,23,44,1,1
33,2,27,37,34,2,0
43,1,27,43,17,0,2
42,1,22,36,8,0,2
35,1,9,23,5,6,1
19,7,5,14,2,16,14
10,16,3,5,1,24,34
3,26,2,3,0,34,53
3,31,2,2,1,40,61
0,29,1,2,1,36,58
1,19,0,1,14,24,43
0,8,1,2,33,9,21
2,5,6,3,49,4,8
4,2,15,11,53,1,4
15,1,23,26,45,2,2
35,1,26,37,27,1,2
45,2,22,41,12,0,0
45,2,18,35,6,1,0
35,5,6,24,2,3,1
17,13,3,12,2,12,10
7,19,2,6,0,25,31
4,26,1,3,0,33,46
1,19,2,2,0,36,53
1,13,1,1,22,31,22
7,1,0,5,55,3,0
47,2,11,29,5,0,0
29,1,27,24,2,6,26
3,18,4,1,2,25,57
1,18,2,0,36,12,5
6,1,2,10,26,0,1
41,1,16,39,1,0,0
10,2,23,5,0,4,34
1,21,3,1,10,19,46
2,9,0,1,51,15,4
22,1,2,22,7,2,1
34,1,24,36,1,2,5
3,1,10,4,0,22,51
0,21,0,1,21,19,28
1,12,1,1,48,3,3
40,1,18,32,4,0,1
28,1,26,27,1,2,26
2,9,1,2,2,24,59
2,32,1,2,46,16,6
8,6,1,14,34,2,1
50,2,23,37,3,1,2
11,0,21,6,0,6,34
0,7,2,2,11,28,48
0,38,1,2,51,12,5
25,9,3,28,7,1,3
47,2,25,27,1,0,6
5,1,9,4,2,14,53
1,9,1,2,31,22,28
2,34,0,4,45,2,1
40,5,1,37,4,1,1
30,0,17,23,2,3,20
2,1,10,2,0,16,55
2,8,0,2,36,24,8
9,35,1,14,34,2,1
43,11,11,35,2,1,0
16,1,25,4,2,6,32
2,1,3,1,11,27,48
0,13,1,0,51,7,4
15,15,0,25,8,1,1
42,0,21,36,2,0,1
5,0,21,2,1,6,49
1,1,1,0,28,24,29
0,21,0,3,52,6,2
32,15,2,33,6,1,2
22,1,31,17,1,0,13
2,1,10,2,2,0,56
2,9,1,2,36,30,12
6,23,0,8,32,20,1
39,7,14,46,2,2,3
15,2,22,13,2,1,51
2,2,1,2,11,9,26
1,15,1,0,45,20,1
16,30,0,28,6,6,1
40,4,21,32,2,2,25
4,1,23,2,1,1,56
1,1,1,2,29,23,6
0,18,2,5,51,25,1
32,16,2,44,6,2,1
32,1,22,18,0,0,39
3,2,9,0,4,1,45
2,3,1,0,53,18,3
10,21,1,12,38,26,1
46,6,3,40,2,3,11
7,0,21,5,0,2,52
1,0,7,0,6,3,9
2,2,1,2,42,30,2
17,17,1,23,31,18,1
43,13,1,27,3,1,23
3,1,29,3,2,0,52
1,0,13,2,25,9,6
2,12,2,3,49,35,2
44,21,1,35,5,10,0
37,4,9,17,2,1,33
2,0,43,1,2,1,39
1,1,9,0,37,21,3
2,11,0,12,32,30,0
40,17,1,35,1,2,5
16,2,14,5,0,2,47
0,0,27,2,6,6,27
0,2,5,1,47,26,2
15,20,2,29,25,21,0
38,11,1,33,2,1,22
3,1,16,3,0,0,58
2,1,21,1,23,8,6
2,5,2,3,59,31,0
37,28,2,31,7,8,3
33,11,0,23,2,2,45
3,2,28,1,6,0,38
2,1,13,0,55,10,3
2,14,2,10,30,28,0
33,18,1,40,2,3,4
23,3,11,5,0,0,48
2,3,24,2,11,0,29
1,1,1,0,50,19,1
11,21,2,27,9,22,0
45,14,2,34,2,1,21
6,0,31,5,1,2,52
2,2,24,1,20,2,5
2,4,2,4,46,27,0
29,28,0,41,4,9,2
28,11,0,29,0,1,34
2,1,19,3,2,0,42
0,1,14,0,36,7,4
1,15,3,12,27,31,0
37,21,0,37,2,14,2
22,3,5,7,2,1,47
2,1,24,1,8,1,37
0,2,4,0,43,8,3
13,14,0,22,27,28,1
40,24,2,39,1,10,14
5,2,9,3,1,1,53
1,1,28,2,23,1,5
