HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
23,0,2,1,14,1,0
13,1,2,0,5,0,15
5,5,0,1,3,9,34
2,20,10,1,2,9,47
1,33,30,8,1,16,56
1,36,42,17,0,11,50
1,32,33,21,1,11,35
2,23,23,18,1,10,16
3,12,9,10,0,4,7
14,5,5,9,7,2,2
26,3,2,9,16,0,1
34,1,2,4,25,0,1
35,1,0,3,25,1,1
29,1,0,1,20,0,2
19,0,2,2,14,2,3
8,1,2,1,6,0,18
4,5,5,0,2,12,36
2,18,18,1,1,28,45
0,29,34,4,1,22,52
0,33,49,12,1,10,47
2,33,43,17,2,5,32
0,26,22,14,2,6,16
1,17,10,16,4,13,7
14,8,4,15,13,16,4
27,4,3,8,22,21,3
38,2,1,4,28,21,1
35,1,2,1,28,10,2
31,2,1,1,27,6,2
12,2,2,1,18,2,30
1,18,2,2,2,22,49
0,24,30,0,1,5,4
20,4,5,16,0,1,1
28,1,3,11,22,0,2
1,0,0,1,15,10,41
1,22,1,0,2,37,37
1,24,30,1,1,11,3
24,2,14,20,9,2,1
23,0,1,14,25,1,11
1,2,0,1,6,9,53
2,33,19,1,2,20,9
6,17,22,10,0,6,1
34,1,2,13,7,1,1
12,1,0,1,24,8,31
0,15,1,1,6,12,48
2,30,25,2,2,4,4
18,5,10,17,1,7,1
27,2,0,24,6,1,1
3,2,3,2,21,1,44
3,24,3,1,7,17,36
0,26,28,2,3,16,1
27,1,7,25,1,0,2
22,2,2,6,8,2,10
1,2,0,2,26,6,51
2,33,1,2,6,36,10
9,20,33,1,1,8,1
37,1,23,20,1,1,1
9,1,1,13,8,2,40
1,14,1,1,28,9,33
0,30,3,2,5,20,1
12,4,25,9,0,13,1
33,0,8,17,1,2,11
4,0,1,3,5,0,49
1,25,0,2,26,5,7
0,25,7,1,8,27,1
21,1,24,5,3,7,1
26,0,7,16,2,3,32
2,2,1,4,4,1,52
1,32,1,2,24,6,5
1,16,15,0,6,15,2
26,2,33,7,0,4,0
22,0,1,21,1,2,40
2,13,1,3,1,1,38
2,33,2,1,24,11,1
4,4,11,0,8,16,0
35,1,20,7,2,2,9
14,1,1,15,1,2,52
1,30,1,3,9,1,22
1,25,14,1,27,13,2
17,1,27,0,9,15,1
26,1,8,8,1,2,25
2,2,1,15,1,1,47
2,35,1,5,8,0,4
1,19,10,1,21,13,1
27,0,24,0,7,49,1
21,1,5,9,2,5,39
3,11,2,27,0,1,44
1,29,1,6,9,2,2
6,4,30,1,23,1,0
32,0,20,0,9,16,6
12,1,1,9,1,10,48
1,24,2,13,1,1,23
0,24,2,10,6,47,1
14,3,32,2,28,10,2
32,0,28,1,9,1,24
5,2,2,12,2,1,48
0,34,1,10,0,2,5
2,18,18,1,6,18,2
22,1,25,0,32,5,0
21,1,2,2,9,2,40
3,15,0,17,1,2,40
1,28,2,6,0,1,2
5,3,23,2,5,23,1
33,0,18,1,24,3,5
14,1,3,1,6,0,50
1,17,0,17,3,2,24
1,24,4,10,2,27,3
19,2,27,0,5,40,2
27,1,9,1,24,5,25
4,3,1,2,7,2,51
2,34,2,20,1,2,6
2,19,1,8,0,13,0
30,1,20,1,6,24,1
24,0,17,0,26,1,41
2,13,3,6,9,2,38
2,35,1,18,1,1,3
5,5,18,1,0,8,0
33,1,42,1,5,34,8
16,1,4,1,22,9,47
1,20,1,17,4,1,26
1,27,1,25,0,0,2
19,3,14,4,0,9,1
26,2,18,1,5,21,18
3,2,3,0,26,5,49
2,30,1,14,11,0,6
0,19,1,11,1,2,1
29,2,41,2,1,7,0
24,1,7,0,15,14,34
1,13,2,0,16,2,42
0,31,0,18,1,2,4
4,6,1,12,2,13,2
36,1,45,2,1,5,6
15,0,13,0,23,24,48
2,25,2,9,15,6,26
0,31,2,17,2,1,2
14,2,14,2,0,2,0
28,2,21,2,3,5,14
2,0,9,1,25,1,49
0,28,1,10,10,29,5
0,20,0,16,0,2,0
32,1,10,4,1,3,0
26,0,24,0,14,27,35
1,9,1,1,19,6,38
0,34,0,8,4,1,2
4,10,6,20,2,2,0
34,0,36,9,1,1,5
15,2,25,2,23,19,48
1,20,2,2,15,23,29
2,27,0,14,2,3,1
14,3,1,10,0,2,2
33,1,26,1,7,3,19
3,1,14,0,30,27,51
2,26,0,1,12,18,5
0,23,1,26,1,1,1
26,0,17,3,1,0,1
21,1,8,1,15,13,37
